id,name,type,height,latitude,longitude,url
1,Ben Chonzie,munro,930.4,56.453851,-3.992057,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1
17,Ben Vorlich,munro,985.3,56.34268,-4.219464,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=17
18,Stuc a' Chroin,munro,973,56.329315,-4.237533,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=18
26,Ben More,munro,1174,56.385952,-4.540087,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=26
27,Stob Binnein,munro,1165,56.370717,-4.535753,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=27
30,Cruach Ardrain,munro,1045.9,56.356438,-4.576152,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=30
31,An Caisteal,munro,995.9,56.338618,-4.62437,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=31
32,Ben Lomond,munro,973.7,56.190302,-4.63301,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=32
35,Beinn Tulaichean,munro,945.8,56.342234,-4.563315,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=35
38,Beinn Chabhair,munro,932.2,56.325779,-4.641476,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=38
65,Ben Lui [Beinn Laoigh],munro,1131.4,56.397004,-4.810509,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=65
67,Ben Oss,munro,1029.8,56.389027,-4.775179,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=67
68,Beinn Ime,munro,1012.2,56.236794,-4.817125,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=68
69,Beinn Dubhchraig,munro,978.6,56.391295,-4.743193,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=69
70,Beinn Bhuidhe,munro,948.5,56.326686,-4.906709,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=70
71,Ben Vorlich,munro,942.8,56.274021,-4.755046,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=71
74,Beinn Narnain,munro,926.8,56.220956,-4.789003,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=74
75,Beinn a' Chleibh,munro,916.3,56.39023,-4.83563,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=75
76,Ben Vane,munro,915.76,56.249786,-4.781655,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=76
103,Schiehallion,munro,1083.3,56.666942,-4.10023,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=103
104,Beinn a' Chreachain,munro,1080.6,56.560387,-4.647589,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=104
105,Beinn Dorain,munro,1076,56.50287,-4.722173,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=105
107,Carn Mairg,munro,1043,56.634635,-4.145624,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=107
108,Beinn Achaladair,munro,1038.6,56.551909,-4.694515,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=108
