id,name,latitude,longitude
24,Lochnagar,56.9551,-3.237
25,Cairn Gorm - Stob Coire an t-Sneachda,57.1065,-3.6594
178,Creag Meagaidh,56.95197,-4.60207
387,Buachaille Etive Mor,56.6461,-4.9004
562,Aonach Eagach - Sgorr nam Fiannaidh,56.67945,-5.03752
715,Liathach - Spidean a' Choire Leith ,57.5641,-5.4636
774,Beinn Eighe,57.5861,-5.4383
2137,Bidean nam Bian - Stob Coire nam Beith,56.64613,-5.03711
2519,Beinn Bhan,57.44226,-5.66163
2551,Sgurr nan Gillean,57.2481,-6.1924
2580,Beinn a' Bheithir - Sgorr Dhearg,56.65389,-5.1717
3443,Sgorr Ruadh,57.49853,-5.40778
9678,Carn Mor Dearg,56.80521,-4.98664
9928,Stob Coire Sgreamhach,56.63831,-5.01052
12867,Aonach air Chrith,57.12515,-5.22133
13023,Beinn Alligin - Sgurr Mor,57.5912,-5.57307
13056,An Teallach - Bidein a' Ghlas Thuill,57.8071,-5.252
14765,Beinn Eighe - Sail Mhor,57.58808,-5.45127
14788,The Saddle,57.1619,-5.4168
16877,Ben Nevis,56.79686,-5.00382
