id,pinId,name,stars,grade
3188,4,Spiral Stairs,***,VD
3212,4,Flying Buttress,***,VD
5560,24,Eagle Ridge (Summer),***,S
4766,28,The Clean Sweep,***,VS
32335,31,Piton Route,**,VS
2953,33,The Talisman (Summer),***,HS
670,43,Ardverikie Wall,***,HS
31325,74,Savage Slit (Summer),***,S
11225,94,Sail Buttress,**,HS
11229,94,Topsail,**,VS
11246,94,Powder Monkey Parade,**,S
10340,104,Hargreaves' Original,***,VS
10342,104,April Crack,***,HS
10370,104,Flying Buttress,***,HVD
16007,105,Via Dolorosa,***,VS
30513,198,Demo Route,***,HS
845,199,Doorpost,***,HS
1721,201,The Wrinkle,**,VD
1738,201,Crackstone Rib,***,S
2240,202,Nea,**,VS
26070,206,Climbers' Club Ordinary,**,VS
1955,218,Pendulum Chimney,***,S
2005,218,Terrier's Tooth,***,HS
4186,345,Ash Tree Slabs,***,VD
4203,345,'C' Route,***,S
4206,345,Bracket and Slab Climb,***,VS
1074,349,Bowfell Buttress,***,HS
3367,355,Murray's Route,***,S
54,373,Parson's Chimney,***,HS
1187,387,North Face Route,*,S
1215,387,Agag's Groove (Summer),***,VD
63947,387,The Chasm (Summer),***,VS
5739,491,Direct Route,***,HVD
5741,491,Pulpit Route,**,VD
29169,491,Grooved Arête,***,HVD
41530,491,Gashed Crag,**,VD
46853,491,Overlapping Ridge Route (First Pinnacle Rib),**,D
85392,494,Direct Route,***,VS
28785,496,Hope,***,VD
28786,496,Lazarus,***,S
28787,496,The Arete,**,VD
29215,497,Grey Slab,***,VS
6373,519,Rib and Slab Climb,***,HS
6374,519,New West Climb,***,VD
29168,530,Great Gully,***,S
645,534,Crypt Route,***,VD
37498,562,Clachaig Gully (Summer),***,S
8112,594,Punster's Crack (Summer),***,S
8121,594,Recess Route (Summer),***,S
8132,594,Ardgartan Arête,**,VS
8184,662,The Wasdale Crack,***,HS
8190,662,Needle Ridge,***,VD
8209,662,Tophet Wall,***,HS
6988,680,Moss Ghyll Grooves,***,VS
7004,680,Jone's Route Direct from Lord's Rake,***,HS
38155,682,Cuillin Ridge Traverse (Summer),***,VD
28749,695,Main Wall,***,HS
3254,699,The Cracks,***,HS
7567,747,Little Chamonix,***,VD
695,748,Troutdale Pinnacle,***,S
4165,763,Gillercombe Buttress,***,S
7431,772,Cioch Nose,***,VD
7735,780,Cioch Direct,*,S
7739,780,Arrow Route,***,VD
7741,780,Integrity,***,VS
20091,797,Black and Tans,***,S
20095,797,Technical Slab,***,HS
2736,817,Creagh Dhu Wall,***,HS
16124,899,Central Climb,***,VS
16126,899,K2,**,S
16130,899,Modern,**,VS
31090,1113,The Devil's Slide,***,HS
29152,1214,Avalanche/Red Wall/Longlands,**,S
33106,1322,Red Pencil Direct,***,HS
40744,2263,Will o' the Wisp,***,HVD
2090,13421,Sou'wester Slabs,***,VD
50590,13421,Labyrinth,*,VS
33547,14629,Squareface,***,VD
33944,14629,Cumming-Crofton Route (Summer),***,S
556,16877,The Long Climb,***,VS
563,16877,Tower Ridge,***,D
150,23162,The Long Crack,**,S
34877,23162,Archer Ridge,***,S
