id,pinId,name,stars,grade
5585,24,The Black Spout,**,I
2369,25,Fiacaill Ridge,**,II
88664,178,Raeburn's Gully,***,I
143538,387,The Chasm To Crowberry Traverse (Winter),*,II
47797,562,Aonach Eagach Ridge (Winter),***,II
42002,715,Main Ridge Traverse (winter),***,II
151532,774,The Black Carls (Summer),*,Grade-1
35141,2137,Summit Gully,**,II
83940,2519,A'Chioch Traverse,***,II
41565,2551,Southeast Ridge (Winter),,I
83569,2551,West Ridge (Winter),*,II
146071,2580,East-northeast Ridge (Winter),*,II
146556,2580,Ballachulish Horseshoe,,I
149886,3443,Academy Ridge (Winter),*,II
149891,3443,Post Box Gully,***,II
118946,9678,Carn Dearg Meadhonach East Ridge (Winter),,II
148413,9928,Northeast Ridge via Beinn Fhada,*,II
314274,12867,North Ridge (winter),*,I
38796,13023,Deep South Gully,***,I
115654,13056,Hayfork Gully,***,I
185543,13056,An Teallach Ridge (Winter),***,II
150121,14765,Morrison's Gully (No.1 Gully),*,I
43540,14788,Forcan Ridge (Winter),***,I/II
499,16877,South Castle Gully,***,II
610,16877,Ledge Route,***,II
144164,16877,Carn Mor Dearg Arete,,Grade-1
