id,name,type,height,latitude,longitude,url
2319,Skiddaw,wainwright,930.4,54.651391,-3.147761,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2319
2320,Blencathra - Hallsfell Top,wainwright,867.8,54.639949,-3.049789,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2320
2321,Skiddaw Little Man,wainwright,865,54.639911,-3.137629,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2321
2325,Carl Side,wainwright,746.8,54.642398,-3.155984,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2325
2326,Long Side,wainwright,734,54.645505,-3.165618,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2326
2327,Lonscale Fell,wainwright,715,54.634357,-3.108518,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2327
2328,Knott,wainwright,710,54.686982,-3.093322,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2328
2329,Bowscale Fell,wainwright,702,54.665538,-3.035037,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2329
2330,Ullock Pike,wainwright,690.4,54.648261,-3.172486,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2330
2331,Great Calva,wainwright,691,54.67077,-3.101074,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2331
2332,Bannerdale Crags,wainwright,684.1,54.65195,-3.031731,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2332
2333,Bakestall,wainwright,673.5,54.666365,-3.139097,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2333
2336,Carrock Fell,wainwright,662.3,54.693484,-3.02287,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2336
2337,High Pike (Caldbeck),wainwright,658,54.705416,-3.058742,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2337
2338,Great Sca Fell,wainwright,651,54.695145,-3.100989,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2338
2340,Mungrisdale Common,wainwright,631.8,54.653232,-3.068359,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2340
2344,Brae Fell,wainwright,586,54.70642,-3.105361,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2344
2345,Lord's Seat,wainwright,552,54.627823,-3.233984,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2345
2346,Meal Fell,wainwright,549.4,54.693795,-3.113923,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2346
2347,Great Cockup,wainwright,526,54.689677,-3.128766,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2347
2348,Souther Fell,wainwright,522,54.653236,-3.001663,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2348
2349,Dodd (Skiddaw),wainwright,502,54.63561,-3.172122,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2349
2350,Longlands Fell,wainwright,483,54.708411,-3.125313,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2350
2351,Binsey,wainwright,447,54.708795,-3.204188,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2351
2352,Latrigg,wainwright,369,54.612432,-3.117863,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2352
2359,Scafell Pike,wainwright,978.07,54.454263,-3.211682,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2359
2360,Scafell,wainwright,963.9,54.447498,-3.224731,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2360
2364,Great End,wainwright,909.5,54.46494,-3.194548,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2364
2365,Bowfell,wainwright,902.9,54.447816,-3.166242,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2365
2367,Great Gable,wainwright,899,54.482084,-3.219296,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2367
2368,Pillar,wainwright,892.4,54.497479,-3.281134,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2368
2369,Esk Pike,wainwright,885,54.457172,-3.179219,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2369
2371,Crinkle Crags - Long Top [Second Crinkle],wainwright,859,54.433704,-3.159813,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2371
2372,Grasmoor,wainwright,851.6,54.571635,-3.277905,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2372
2373,Scoat Fell,wainwright,841,54.490904,-3.299239,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2373
2374,Crag Hill [Eel Crag],wainwright,839.2,54.571762,-3.250234,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2374
2378,Red Pike (Wasdale),wainwright,826,54.483922,-3.289879,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2378
2379,Steeple,wainwright,819,54.493389,-3.302174,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2379
